ticker,factor,exposure
MP,Consumer Cyclical,0.000000
MP,Consumer Defensive,0.000000
MP,Energy,0.000000
MP,Financial Services,0.000000
MP,Healthcare,0.000000
MP,Industrials,0.000000
MP,Real Estate,0.000000
MP,Technology,0.000000
MP,Utilities,0.000000
MRNA,Basic Materials,0.000000
MRNA,Communication Services,0.000000
MRNA,Consumer Cyclical,0.000000
MRNA,Consumer Defensive,0.000000
MRNA,Energy,0.000000
MRNA,Financial Services,0.000000
MRNA,Healthcare,1.000000
MRNA,Industrials,0.000000
MRNA,Real Estate,0.000000
MRNA,Technology,0.000000
MRNA,Utilities,0.000000
MSFT,Basic Materials,0.000000
MSFT,Communication Services,0.000000
MSFT,Consumer Cyclical,0.000000
MSFT,Consumer Defensive,0.000000
MSFT,Energy,0.000000
MSFT,Financial Services,0.000000
MSFT,Healthcare,0.000000
MSFT,Industrials,0.000000
MSFT,Real Estate,0.000000
MSFT,Technology,1.000000
MSFT,Utilities,0.000000
NEE,Basic Materials,0.000000
NEE,Communication Services,0.000000
NEE,Consumer Cyclical,0.000000
NEE,Consumer Defensive,0.000000
NEE,Energy,0.000000
NEE,Financial Services,0.000000
NEE,Healthcare,0.000000
NEE,Industrials,0.000000
NEE,Real Estate,0.000000
NEE,Technology,0.000000
NEE,Utilities,1.000000
NEM,Basic Materials,1.000000
NEM,Communication Services,0.000000
NEM,Consumer Cyclical,0.000000
NEM,Consumer Defensive,0.000000
NEM,Energy,0.000000
NEM,Financial Services,0.000000
NEM,Healthcare,0.000000
NEM,Industrials,0.000000
NEM,Real Estate,0.000000
NEM,Technology,0.000000
NEM,Utilities,0.000000
NFLX,Basic Materials,0.000000
NFLX,Communication Services,1.000000
NFLX,Consumer Cyclical,0.000000
NFLX,Consumer Defensive,0.000000
NFLX,Energy,0.000000
NFLX,Financial Services,0.000000
NFLX,Healthcare,0.000000
NFLX,Industrials,0.000000
NFLX,Real Estate,0.000000
NFLX,Technology,0.000000
NFLX,Utilities,0.000000
NVDA,Basic Materials,0.000000
NVDA,Communication Services,0.000000
